Country1,Country2
AND,FRA
AND,ESP
ARE,OMN
ARE,SAU
AFG,CHN
AFG,IRN
AFG,PAK
AFG,TJK
AFG,TKM
AFG,UZB
ATG,NA
AIA,NA
ALB,GRC
ALB,MNE
ALB,MKD
ALB,SRB
ARM,AZE
ARM,GEO
ARM,IRN
ARM,TUR
AGO,COG
AGO,COD
AGO,NAM
AGO,ZMB
ATA,NA
ARG,BOL
ARG,BRA
ARG,CHL
ARG,PRY
ARG,URY
ASM,NA
AUT,CZE
AUT,DEU
AUT,HUN
AUT,ITA
AUT,LIE
AUT,SVK
AUT,SVN
AUT,CHE
AUS,NA
ABW,NA
ALA,NA
AZE,ARM
AZE,GEO
AZE,IRN
AZE,RUS
AZE,TUR
BIH,HRV
BIH,MNE
BIH,SRB
BRB,NA
BGD,IND
BGD,MMR
BEL,FRA
BEL,DEU
BEL,LUX
BEL,NLD
BFA,BEN
BFA,CIV
BFA,GHA
BFA,MLI
BFA,NER
BFA,TGO
BGR,GRC
BGR,MKD
BGR,ROU
BGR,SRB
BGR,TUR
BHR,NA
BDI,COD
BDI,RWA
BDI,TZA
BEN,BFA
BEN,NER
BEN,NGA
BEN,TGO
BLM,NA
BMU,NA
BRN,MYS
BOL,ARG
BOL,BRA
BOL,CHL
BOL,PRY
BOL,PER
BES,NA
BRA,ARG
BRA,BOL
BRA,COL
BRA,GUF
BRA,GUY
BRA,PRY
BRA,PER
BRA,SUR
BRA,URY
BRA,VEN
BHS,NA
BTN,CHN
BTN,IND
BVT,NA
BWA,NAM
BWA,ZAF
BWA,ZMB
BWA,ZWE
BLR,LVA
BLR,LTU
BLR,POL
BLR,RUS
BLR,UKR
BLZ,GTM
BLZ,MEX
CAN,USA
CCK,NA
COD,AGO
COD,BDI
COD,CAF
COD,COG
COD,RWA
COD,SSD
COD,TZA
COD,UGA
COD,ZMB
CAF,CMR
CAF,TCD
CAF,COG
CAF,COD
CAF,SSD
CAF,SDN
COG,AGO
COG,CMR
COG,CAF
COG,COD
COG,GAB
CHE,AUT
CHE,FRA
CHE,DEU
CHE,ITA
CHE,LIE
CIV,BFA
CIV,GHA
CIV,GIN
CIV,LBR
CIV,MLI
COK,NA
CHL,ARG
CHL,BOL
CHL,PER
CMR,CAF
CMR,TCD
CMR,COG
CMR,GNQ
CMR,GAB
CMR,NGA
CHN,AFG
CHN,BTN
CHN,HKG
CHN,IND
CHN,KAZ
CHN,PRK
CHN,KGZ
CHN,LAO
CHN,MAC
CHN,MNG
CHN,MMR
CHN,NPL
CHN,PAK
CHN,RUS
CHN,TJK
CHN,VNM
COL,BRA
COL,ECU
COL,PAN
COL,PER
COL,VEN
CRI,NIC
CRI,PAN
CUB,NA
CPV,NA
CUW,NA
CXR,NA
CYP,NA
CZE,AUT
CZE,DEU
CZE,POL
CZE,SVK
DEU,AUT
DEU,BEL
DEU,CZE
DEU,DNK
DEU,FRA
DEU,LUX
DEU,NLD
DEU,POL
DEU,CHE
DJI,ERI
DJI,ETH
DJI,SOM
DNK,DEU
DMA,NA
DOM,HTI
DZA,LBY
DZA,MLI
DZA,MRT
DZA,MAR
DZA,NER
DZA,TUN
DZA,ESH
ECU,COL
ECU,PER
EST,LVA
EST,RUS
EGY,ISR
EGY,LBY
EGY,PSE
EGY,SDN
ESH,DZA
ESH,MRT
ESH,MAR
ERI,DJI
ERI,ETH
ERI,SDN
ESP,AND
ESP,FRA
ESP,GIB
ESP,MAR
ESP,PRT
ETH,DJI
ETH,ERI
ETH,KEN
ETH,SOM
ETH,SSD
ETH,SDN
FIN,NOR
FIN,RUS
FIN,SWE
FJI,NA
FLK,NA
FSM,NA
FRO,NA
FRA,AND
FRA,BEL
FRA,DEU
FRA,ITA
FRA,LUX
FRA,MCO
FRA,ESP
FRA,CHE
GAB,CMR
GAB,COG
GAB,GNQ
GBR,IRL
GRD,NA
GEO,ARM
GEO,AZE
GEO,RUS
GEO,TUR
GUF,BRA
GUF,SUR
GGY,NA
GHA,BFA
GHA,CIV
GHA,TGO
GIB,ESP
GRL,NA
GMB,SEN
GIN,CIV
GIN,GNB
GIN,LBR
GIN,MLI
GIN,SEN
GIN,SLE
GLP,NA
GNQ,CMR
GNQ,GAB
GRC,ALB
GRC,BGR
GRC,MKD
GRC,TUR
SGS,NA
GTM,BLZ
GTM,SLV
GTM,HND
GTM,MEX
GUM,NA
GNB,GIN
GNB,SEN
GUY,BRA
GUY,SUR
GUY,VEN
HKG,CHN
HMD,NA
HND,SLV
HND,GTM
HND,NIC
HRV,BIH
HRV,HUN
HRV,MNE
HRV,SRB
HRV,SVN
HTI,DOM
HUN,AUT
HUN,HRV
HUN,ROU
HUN,SRB
HUN,SVK
HUN,SVN
HUN,UKR
IDN,MYS
IDN,PNG
IDN,TLS
IRL,GBR
ISR,EGY
ISR,JOR
ISR,LBN
ISR,PSE
ISR,SYR
IMN,NA
IND,BGD
IND,BTN
IND,CHN
IND,MMR
IND,NPL
IND,PAK
IOT,NA
IRQ,IRN
IRQ,JOR
IRQ,KWT
IRQ,SAU
IRQ,SYR
IRQ,TUR
IRN,AFG
IRN,ARM
IRN,AZE
IRN,IRQ
IRN,PAK
IRN,TUR
IRN,TKM
ISL,NA
ITA,AUT
ITA,FRA
ITA,SMR
ITA,SVN
ITA,CHE
ITA,VAT
JEY,NA
JAM,NA
JOR,IRQ
JOR,ISR
JOR,PSE
JOR,SAU
JOR,SYR
JPN,NA
KEN,ETH
KEN,SOM
KEN,SSD
KEN,TZA
KEN,UGA
KGZ,CHN
KGZ,KAZ
KGZ,TJK
KGZ,UZB
KHM,LAO
KHM,THA
KHM,VNM
KIR,NA
COM,NA
KNA,NA
PRK,CHN
PRK,KOR
PRK,RUS
KOR,PRK
KWT,IRQ
KWT,SAU
CYM,NA
KAZ,CHN
KAZ,KGZ
KAZ,RUS
KAZ,TKM
KAZ,UZB
LAO,CHN
LAO,KHM
LAO,MMR
LAO,THA
LAO,VNM
LBN,ISR
LBN,SYR
LCA,NA
LIE,AUT
LIE,CHE
LKA,NA
LBR,CIV
LBR,GIN
LBR,SLE
LSO,ZAF
LTU,BLR
LTU,LVA
LTU,POL
LTU,RUS
LUX,BEL
LUX,DEU
LUX,FRA
LVA,BLR
LVA,EST
LVA,LTU
LVA,RUS
LBY,DZA
LBY,TCD
LBY,EGY
LBY,NER
LBY,SDN
LBY,TUN
MAR,DZA
MAR,ESP
MAR,ESH
MCO,FRA
MDA,ROU
MDA,UKR
MNE,ALB
MNE,BIH
MNE,HRV
MNE,SRB
MAF,SXM
MDG,NA
MHL,NA
MKD,ALB
MKD,BGR
MKD,GRC
MKD,SRB
MLI,DZA
MLI,BFA
MLI,CIV
MLI,GIN
MLI,MRT
MLI,NER
MLI,SEN
MMR,BGD
MMR,CHN
MMR,IND
MMR,LAO
MMR,THA
MNG,CHN
MNG,RUS
MAC,CHN
MNP,NA
MTQ,NA
MRT,DZA
MRT,MLI
MRT,SEN
MRT,ESH
MSR,NA
MLT,NA
MUS,NA
MDV,NA
MWI,MOZ
MWI,TZA
MWI,ZMB
MEX,BLZ
MEX,GTM
MEX,USA
MYS,BRN
MYS,IDN
MYS,THA
MOZ,MWI
MOZ,SWZ
MOZ,ZAF
MOZ,TZA
MOZ,ZMB
MOZ,ZWE
NAM,AGO
NAM,BWA
NAM,ZAF
NAM,ZMB
NCL,NA
NER,DZA
NER,BEN
NER,BFA
NER,TCD
NER,LBY
NER,MLI
NER,NGA
NFK,NA
NGA,BEN
NGA,CMR
NGA,TCD
NGA,NER
NIC,CRI
NIC,HND
NLD,BEL
NLD,DEU
NOR,FIN
NOR,RUS
NOR,SWE
NPL,CHN
NPL,IND
NRU,NA
NIU,NA
NZL,NA
OMN,ARE
OMN,SAU
OMN,YEM
PAN,COL
PAN,CRI
PER,BOL
PER,BRA
PER,CHL
PER,COL
PER,ECU
PYF,NA
PNG,IDN
PHL,NA
PAK,AFG
PAK,CHN
PAK,IND
PAK,IRN
POL,BLR
POL,CZE
POL,DEU
POL,LTU
POL,RUS
POL,SVK
POL,UKR
SPM,NA
PCN,NA
PRI,NA
PSE,EGY
PSE,ISR
PSE,JOR
PRT,ESP
PLW,NA
PRY,ARG
PRY,BOL
PRY,BRA
QAT,SAU
REU,NA
ROU,BGR
ROU,HUN
ROU,MDA
ROU,SRB
ROU,UKR
SRB,ALB
SRB,BIH
SRB,BGR
SRB,HRV
SRB,HUN
SRB,MNE
SRB,MKD
SRB,ROU
RUS,AZE
RUS,BLR
RUS,CHN
RUS,EST
RUS,FIN
RUS,GEO
RUS,KAZ
RUS,PRK
RUS,LVA
RUS,LTU
RUS,MNG
RUS,NOR
RUS,POL
RUS,UKR
RWA,BDI
RWA,COD
RWA,TZA
RWA,UGA
SAU,IRQ
SAU,JOR
SAU,KWT
SAU,OMN
SAU,QAT
SAU,ARE
SAU,YEM
SLB,NA
SYC,NA
SDN,CAF
