year,importer,exporter,dist,gdp_importer,gdp_exporter
2019,ABW,AFG,13256,3310055.866,18799450.74
2019,ABW,AGO,9505,3310055.866,69309104.81
2019,ABW,ALB,9090,3310055.866,15401830.75
2019,ABW,AND,7570,3310055.866,3155149.348
2019,ABW,ARE,12771,3310055.866,417215559.5
2019,ABW,ARG,5359,3310055.866,452818426
2019,ABW,ARM,11109,3310055.866,13619291.36
2019,ABW,ASM,11486,3310055.866,648000
2019,ABW,ATG,1016,3310055.866,1687533.333
2019,ABW,AUS,15233,3310055.866,1391952510
2019,ABW,AUT,8716,3310055.866,445011872.7
2019,ABW,AZE,11504,3310055.866,481742359
2019,ABW,BDI,11119,3310055.866,258126826
2019,ABW,BEL,7842,3310055.866,535376258
2019,ABW,BEN,7955,3310055.866,14391686.63
2019,ABW,BFA,7422,3310055.866,16178162.03
2019,ABW,BGD,15472,3310055.866,351238438.5
2019,ABW,BGR,9347,3310055.866,689154164
2019,ABW,BHR,12303,3310055.866,38653318.09
2019,ABW,BHS,1586,3310055.866,13192800
2019,ABW,BIH,8928,3310055.866,202013238
2019,ABW,BLR,9383,3310055.866,644096479
2019,ABW,BLZ,2082,3310055.866,194525036
2019,ABW,BMU,2254,3310055.866,7423465
2019,ABW,BOL,3217,3310055.866,40895322.85
2019,ABW,BRA,4734,3310055.866,1873288159
2019,ABW,BRB,1132,3310055.866,5304164.323
2019,ABW,BRN,17998,3310055.866,13469422.96
2019,ABW,BTN,15071,3310055.866,2535657.069
2019,ABW,BWA,11179,3310055.866,16695925.03
2019,ABW,CAF,9760,3310055.866,2221301.401
2019,ABW,CAN,3571,3310055.866,1742015045
2019,ABW,CHE,8133,3310055.866,731767398
2019,ABW,CHL,5089,3310055.866,278584733
2019,ABW,CHN,15012,3310055.866,14279937501
2019,ABW,CIV,7286,3310055.866,58539424.93
2019,ABW,CMR,9008,3310055.866,39670977.33
2019,ABW,COD,9616,3310055.866,51775830.73
2019,ABW,COG,9612,3310055.866,12750338.74
2019,ABW,COL,982,3310055.866,323109543.3
2019,ABW,COM,12793,3310055.866,1195019.559
2019,ABW,CPV,5030,3310055.866,1981845.741
2019,ABW,CRI,1561,3310055.866,64417670.08
2019,ABW,CUB,1756,3310055.866,103428000
2019,ABW,CUW,128,3310055.866,2995185.487
2019,ABW,CYM,1426,3310055.866,5943589.096
2019,ABW,CYP,10404,3310055.866,25758357.78
2019,ABW,CZE,8556,3310055.866,252498032
